participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.own_strategy,player.other_players_strategy,player.pilot_difficulty,player.pilot_explanation,player.pilot_interface,player.pilot_time,player.research_question,player.comments,player.dummy_player_axiom,player.symmetry_axiom,player.efficiency_axiom,player.linearity_additivity_axiom,player.linearity_HD1_axiom,player.stability_axiom,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,vn8gqjnw,,0,0,45,,,,0,,,0.0,1,,0.0,,,,,,,,,,,,,,,1,1,e5te6pxl,,,,,1
2,40z23fb0,,0,0,45,,,,0,,,0.0,2,,0.0,,,,,,,,,,,,,,,1,1,e5te6pxl,,,,,1
3,gu2dkpsr,,0,0,45,,,,0,,,0.0,3,,0.0,,,,,,,,,,,,,,,1,1,e5te6pxl,,,,,1
1,4bbuo5ay,,0,0,45,,,,0,,,0.0,1,,0.0,,,,,,,,,,,,,,,1,1,qs4xnsyl,,,,,1
2,8wsn6r2x,,0,0,45,,,,0,,,0.0,2,,0.0,,,,,,,,,,,,,,,1,1,qs4xnsyl,,,,,1
3,akyusd70,,0,0,45,,,,0,,,0.0,3,,0.0,,,,,,,,,,,,,,,1,1,qs4xnsyl,,,,,1
1,rggxlrld,BLU_20,0,45,45,survey,Completion,2024-05-14 08:36:05.737249,1,,,238.0,1,,0.0,make it as equal as possible and giving one extra point to A (34),"I think everyone had a similar strategy in the end, as the outcome of every round was the same.",Easy,Neutral,Very well,Just right,observing the change from the first to the last session to see how people adapt to the bargaining situation,,Strongly Disagree,Strongly Agree,Neutral,No opinion,Agree,Agree,1,1,ykdzfw2h,,,,,0
2,zu5rxx67,BLU_30,0,45,45,survey,Completion,2024-05-14 08:36:05.755470,1,,,256.0,2,,0.0,"Be the most fair, and including 3 people for higher budget",most of them went for fairness also,Medium difficulty,Neutral,Very well,Just right,Are people willing to take risk if they don't know the point conversion?,no,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,1,1,ykdzfw2h,,,,,0
3,77a6ed9a,BLU_26,0,45,45,survey,Completion,2024-05-14 08:36:05.762273,1,,,215.0,3,,0.0,"i gave 34 to A since it was determinant to have 100 points, and then i gave 33 to B1 and B2 since they have the same impact","it was the same as mine. I wanted to try I new strategy once, but another player preferred to win nothing instead to win less (everybody could win 5 - 5 - 5)",Easy,Well,Well,Just right,how people interact with themselves and what they think is equality,,Disagree,Agree,Agree,Agree,No opinion,Agree,1,1,ykdzfw2h,,,,,0
4,a8gna0pr,BLU_18,0,45,45,survey,Completion,2024-05-14 08:36:05.768988,1,,,265.0,4,,0.0,I always wanted to go for 33 points for three players but allowed a to have 34 because the player must be in the group to have higher points,"I think everyone did not want to risk so they went for 33 all around or A34 and the rest 33. No one wanted to risk a two group without A especially,",Medium difficulty,Neutral,Very well,Way too much,How much are people ready to risk losing something they are not sure they could lose?,The chat time of 5 minutes is too long. 3 minutes would be more than enough.,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,No opinion,Strongly Agree,1,1,ykdzfw2h,,,,,0
5,ry0nc01c,BLU_10,0,45,45,survey,Completion,2024-05-14 08:36:05.775962,1,,,248.0,5,,0.0,"I though that 34, 33, 33 had the best profit, so I would just stick to that","Some thought there was a trick behind the study. We mostly agreed, but in the last round they were really fixated on finding the loop hole, with which I did not agree and we did not get anything",Medium difficulty,Well,Very well,Just right,"Greediness for players, and curiosity to find the loophole behind the ga,e","I assume not explaining how the points were given was not a mistake. If it was, maybe explain exactly how the profit is given, so people do not think there is a loophole.",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,1,1,ykdzfw2h,,,,,0
6,iw6538t5,BLU_29,0,45,45,survey,Completion,2024-05-14 08:36:05.782487,1,,,184.0,6,,0.0,Include every player for fairness. Then try to redistribute the amount of members per each group. ,"It was quite boring as just one other player wanted to take a risk and try another option than 34-33-33. I wanted to source out what impact the total amount of players and the distribution has on the points. But except this one other player, nobody was into it. ",Difficult,Neutral,Very well,Too much,If people are expecting benefits by giving them more budget (more amount of players in the own group) and if you will be encouraged to to so. ,,Disagree,Agree,Agree,No opinion,Agree,Agree,1,1,ykdzfw2h,,,,,0
7,p8983tf0,BLU_04,0,45,45,survey,Completion,2024-05-14 08:36:05.788757,1,,,288.0,7,,0.0,"well i was mostly playing as A. then in theory I should have enough power to make people agree to extreme schemes like 60-20-20. however, they would often find that unfair or would use the chat to ask me to be nicer and well since we are all humans i never went beyond 40-30-30 and most of the time just agreed to 34-33-33 to make everyone feel better.","they felt the same way, i think. people were very unwilling to accept nonequal allocation and actively were persuading in chat to go with the equal one. ",Easy,Very well,Very well,Just right,bargaining process when the sides that have power and dont are allowed to communicate with each other? ,"this was a pretty interesting experiment, i enjoyed it.",Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,1,1,ykdzfw2h,,,,,0
8,6ul57k0b,BLU_00,0,45,45,survey,Completion,2024-05-14 08:36:05.805492,1,,,239.0,8,,0.0,Spreading everything equally,Same stategy as mine,Easy,Well,Well,Way too much,How people in a group arrange,,Neutral,Disagree,Strongly Agree,Agree,Neutral,Neutral,1,1,ykdzfw2h,,,,,0
9,3o2kadzu,BLU_15,0,45,45,survey,Completion,2024-05-14 08:36:05.811673,1,,,277.0,9,,0.0,"Equal split with 1 point more for player A. Avoiding unneccesary conflicts. I started out as A and myself proposed a fair deal. There were some potential power hungry players, but if B1 and B2 stick together, it was always the same split","Some were trying to abuse the power of being player A, but it would never work out, as I think us students have large egos and we would rather take 0 than letting someone away with an advantage. The reduction in budget for 2 players was very low and thus did not incentivize for 2 player group forming. Would have been interesting if 60 were allotted to 2 player teams. Definitely more drama",Medium difficulty,Very well,Very well,Too much,Effect of giving more power to one person and how it works out against a group of people without power. How long till they stick together given the incentive to do so. But imo the reward for 2 group teams was too low and hence wasnt worth considering,"as said before, maybe higher reward for 2 group teams.",Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Agree,1,1,ykdzfw2h,,,,,0
10,maxxa0b9,BLU_14,0,45,45,survey,Completion,2024-05-14 08:36:05.818182,1,,,218.0,10,,0.0,divide the budget as equal as we could can give a bit more the player A. make sure everyone can be treat fairly,"Some player A is sooo mean, they propose much  unfair proposal, they usually threaten other players to obey their preference with the right they can reject the proposal. it is comprehensive.",Easy,Neutral,Well,Just right,,,Agree,Agree,Strongly Agree,Neutral,Agree,Neutral,1,1,ykdzfw2h,,,,,0
11,wmkt6s6s,BLU_01,0,45,45,survey,Completion,2024-05-14 08:36:05.824685,1,,,261.0,11,,0.0,When not player A to equal sum. So other B player also agree and A cannot dominate.   When player A try to bargain higher as A must be in a group. But only by little.,Have a equal payoff ,Medium difficulty,Well,Very well,Too much,Distributing a budget for different sections,,Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Disagree,1,1,ykdzfw2h,,,,,0
12,7ikal8ir,BLU_31,0,45,45,survey,Completion,2024-05-14 08:36:05.831154,1,,,260.0,12,,0.0,"When being A I tried to get more than the 34 points usually given when splitting 100 ""equally"". I also tried making two groups of two to push this proposal. ","Their strategy was to always aim for equal split. I tried to push my proposal by making groups of just 2 and saying that I preferred 0 or only 5, but the players always aimed for the 34 33 33 split.",Very easy,Very well,Very well,Too much,"How much people are willing to share their money, based on status (power).",Would be interesting to see how much the dynamic changes if the group of 2 has also 100 for the budget.,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,1,1,ykdzfw2h,,,,,0
13,6whe0107,BLU_05,0,45,45,survey,Completion,2024-05-14 08:36:05.837718,1,,,273.0,13,,0.0,try to give A a bit more because they have the power. Equal for b1 b2,"all of my teammates were friendly. Similar to mine, someone was even more fair than I would be.",Easy,Very well,Very well,Too much,What are the factors that would impact people's behavior in interest assignment of teamwork,,Agree,Strongly Agree,No opinion,Agree,Agree,Agree,1,1,ykdzfw2h,,,,,0
14,10hb91v0,BLU_34,0,45,45,survey,Completion,2024-05-14 08:36:05.843954,1,,,248.0,14,,0.0,"It was situation dependent, but I believe everyone should get somewhat equal.",I think people were stubborn and did not want to bargain at all. They usually just made take it or leave it offers.,Medium difficulty,Very well,Well,Way too much,A variant of the zero sum game to understand punishment/profit maximization dynamics.,,Disagree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,1,1,ykdzfw2h,,,,,0
15,brcpj4zp,BLU_06,0,45,45,survey,Completion,2024-05-14 08:36:05.850512,1,,,245.0,15,,0.0,I was promoting fair deals for everyone. That's the best strategy. Because all players can easily sabotage the distributed total points.,most groups also wanted a fair distribution. but in one round the lost a lot of point because they didnt accept the fair distribution,Very easy,Well,Well,Too much,about fairness and group interaction.,"the system for the payout at the end of the experiment is confusing. with points, average etc",No opinion,Agree,Strongly Agree,No opinion,No opinion,Disagree,1,1,ykdzfw2h,,,,,0
16,wr4oyk0w,BLU_23,0,45,45,survey,Completion,2024-05-14 08:36:05.856731,1,,,253.0,16,,0.0,I was trying to equally split the points while satisfying A. I realized that it's always better to for a group of three. I was once fair as A and got 34 points and once I pushed hard and got 45 points. I think I got lucky with my teammates because the group forming was mostly quick. The bargaining on average took 2 minutes.,I think most of them wanted a fair split. There were some A players who were nice and some that wanted more than the others. Most of the times we agreed on the splitting of points.,Easy,Very well,Very well,Too much,Are people fair lol?,I liked the game.,Agree,Neutral,Neutral,Strongly Agree,Neutral,Agree,1,1,ykdzfw2h,,,,,0
17,69gxbqoq,BLU_09,0,45,45,survey,Completion,2024-05-14 08:36:05.863318,1,,,232.0,17,,0.0,"I always tried to split the budget in a fair way, that everyone gets the same amount of points. ;)",I met some players who tried to be dominant and wanted to take more than the half of the budget for themself and that was not nice. This selfish arrogant type is not good in a nice and strong group.,Very easy,Well,Well,Way too much,How to deal with the budget? Who has the authority about it?,,No opinion,Strongly Agree,Strongly Agree,No opinion,Neutral,Neutral,1,1,ykdzfw2h,,,,,0
18,275e2ui1,BLU_24,0,45,45,survey,Completion,2024-05-14 08:36:05.869327,1,,,292.0,18,,0.0,as much as possible,as much as possible,Medium difficulty,Well,Very well,Too much,game theory,,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,1,1,ykdzfw2h,,,,,0
19,bxgty49l,BLU_12,0,45,45,survey,Completion,2024-05-14 08:36:05.876157,1,,,192.0,19,,0.0,my bargaining strategy was to appeal to fairness. I know that if you get a higher percentage of points you get more money but i would always prefer equal distribution.,"I think most people wanted an equal split as well, but some people wanted to disrupt and get more points to themselves and sometimes tried pitting the other players against each other by giving the same offer twice including different players.",Medium difficulty,Neutral,Poorly,Too little,mostly about what strategy people will choose and how people adjust their strategies in response to other peoples choices,,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,1,1,ykdzfw2h,,,,,0
20,tzz523nu,BLU_35,0,45,45,survey,Completion,2024-05-14 08:36:05.883350,1,,,180.0,20,,0.0,no strategy and there are lots of dumb mates,not good. they want too much but got nothing,Easy,Very well,Poorly,Just right,bargaining in game theory,nothing,Neutral,Disagree,Agree,Disagree,Strongly Disagree,Disagree,1,1,ykdzfw2h,,,,,0
21,n6p6kpol,BLU_11,0,45,45,survey,Completion,2024-05-14 08:36:05.891874,1,,,249.0,21,,0.0,splitting three-way except for one round because i thought the payout was percentage based rather than on the points themselves,"overall everybody was willing to split, one guy tried bluffing but i think they got confused from my statement the previous round about percentages(almost sure it was the same guy)",Easy,Well,Very well,Way too much,greed,maybe explaining the way the points on the screen in-between rounds are calculated,Disagree,Disagree,Strongly Agree,Disagree,Disagree,Agree,1,1,ykdzfw2h,,,,,0
22,93vk2elh,BLU_25,0,45,45,survey,Completion,2024-05-14 08:36:05.898845,1,,,189.0,22,,0.0,"expected value, strong position","some fair and kind, some tried (when A) to get more, which didn't roll well in the long run.",Very easy,Well,Very well,Just right,"honestly, I'm confused by this one.","the CHF->points->CHF conversion is a bit disappointing. you get 33CHF in the rounds (EV) -> 8.25 points (that conversion rate was never mentioned and seems rather arbitrary) -> 4.95CHF real pay-out. That's rather low for these kind of studies taking an hour or more... Fun thing was chatting with the people though, that sure made the time more interesting.",Neutral,Agree,Strongly Agree,Agree,Agree,No opinion,1,1,ykdzfw2h,,,,,0
23,qirmcohg,BLU_07,0,45,45,survey,Completion,2024-05-14 08:36:05.905688,1,,,260.0,23,,0.0,tried to keep it equal,"everyone, exept for one person who tried to force the game in order to get extra points, was very uncomplicated and fair",Easy,Neutral,Well,Way too much,prosociality,,Disagree,Agree,Agree,No opinion,No opinion,Disagree,1,1,ykdzfw2h,,,,,0
24,caq3vqi1,BLU_19,0,45,45,survey,Completion,2024-05-14 08:36:05.913204,1,,,211.0,24,,0.0,"Being player B be a nice a possible. Being player A I was not firm enough to get more points, even missed some because the time ran out too quickly to change my choice. ","Most players went for equal distribution. One player A strangely proposed to split 10 points between players A and B1, thinking this would get them more money in the end, even though this doesnt follow from the instructions since 34 is more than 10.",Medium difficulty,Well,Poorly,Too much,Not sure. How a position of power influences bargaining,"please make picking the proposal a list of buttons rather than a dropdown menu, as a dropdown menu takes a lot of time to operate, which is annoying when the timer starts to run out.",No opinion,Agree,Disagree,Neutral,No opinion,Disagree,1,1,ykdzfw2h,,,,,0
25,dlal68fq,BLU_21,0,45,45,survey,Completion,2024-05-14 08:36:05.919913,1,,,262.0,25,,0.0,"Fair play or no play, as in either we all get roughly equal amounts or no one gets anything. Even if someone wanted more in the end they always accepted the equal amount so they would not end up with 0","Many had the same strategy to keep the amount equal, even tho they could have tried to ask for more. there were a few with rude offers and just rude behaviour. We all would have wanted alot of points in every round but that is just not fair for the others. The strategy of the rude players I believe was just to be rude and try to insist on their set amount, maybe because they were player A and had more power to do so.",Medium difficulty,Well,Very well,Too much,The fairness of bargain,,Agree,Agree,Strongly Agree,Neutral,Neutral,No opinion,1,1,ykdzfw2h,,,,,0
26,icm5jw1w,BLU_17,0,45,45,survey,Completion,2024-05-14 08:36:05.926225,1,,,258.0,26,,0.0,Go fair or nothing because that is what i did when i was A.,Some people wanted more but if <ou held your ground and said evenly or 0 they changed their mind last minute.,Medium difficulty,Very well,Very well,Just right,Human behavior during anonymous distribution of weath?,,Neutral,Strongly Agree,Strongly Agree,Agree,No opinion,No opinion,1,1,ykdzfw2h,,,,,0
27,smddi2bm,BLU_08,0,45,45,survey,Completion,2024-05-14 08:36:05.932551,1,,,280.0,27,,0.0,I always tried to do an equal proposition. I think this was the easier and fairest think to do. ,"There were some players that tried to get more money, but finally we split every time equaly",Easy,Very well,Very poorly,Too much,skillness of bargain when you don't have to face the other,,No opinion,Strongly Agree,Strongly Agree,Neutral,Agree,No opinion,1,1,ykdzfw2h,,,,,0
28,gb3p43e3,BLU_13,0,45,45,survey,Completion,2024-05-14 08:36:05.938936,1,,,271.0,28,,0.0,Fair game. Everyone is happy,Most are fine. Some are mean. They think they have more bargaining power. But we could also just let him/her have 0,Medium difficulty,Well,Neutral,Just right,,Maybe increase the two-player budget such that its more difficult?,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,1,1,ykdzfw2h,,,,,0
29,qmykdy6l,BLU_03,0,45,45,survey,Completion,2024-05-14 08:36:05.945065,1,,,240.0,29,,0.0,To split evenly. Its the easiest way to make sure getting a optimal outcome,The most of them where cool and they played fairly. However there was someone who wanted to take advantedge,Easy,Very well,Very well,Just right,human behaviour in bargaining?,,Neutral,Agree,Strongly Agree,No opinion,No opinion,No opinion,1,1,ykdzfw2h,,,,,0
30,aykj1i6i,BLU_32,0,45,45,survey,Completion,2024-05-14 08:36:05.951215,1,,,272.0,30,,0.0,I usually price it highly in my favor to set expectations. Afterwards I show that I am willing to compromise and this usually means that others are willing to take less as they are already happy that I compromised for them. ,"Some of them used brinkmanship, so they would threaten not to do a deal that I proposed and everyone would get 0. So usually I would just run the time down and at the last minute, agree to the deal so that I at least get some utility.",Easy,Very well,Very well,Just right,Whether minor power differences significantly affect outcomes in a game with a bargaining element.,Not applicable. ,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,1,1,ykdzfw2h,,,,,0
31,u53icqui,BLU_22,0,45,45,survey,Completion,2024-05-14 08:36:05.957246,1,,,242.0,31,,0.0,"Fairness of 34 33 33, since all members are equally important but the whole budget should be paid out. A was chosen at random, so it makes sense to give it to A.",Some were greedy but most were very amicable. I feel like some A's thought they had higher leverage and wanted to use that.,Medium difficulty,Very well,Very well,Just right,If ego gets in the way of a fair and optimal payout for all parties.,"Not really, but it was fun :).",Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,1,1,ykdzfw2h,,,,,0
32,2175hu1w,BLU_33,0,45,45,survey,Completion,2024-05-14 08:36:05.964523,1,,,262.0,32,,0.0,I mainly stick with 34/33/33 and most of the team members are friendly and accepted that. That distribution optimize our benefit. And we know the points would be round up at the end so everyone is rational in the study. ,"Most of them are friendly except one guy I met in trial round. He insulted Bs (said ""take your bread"") and assigned 40/30/30. I don""t wanna accept that but another B accept that without even voice out. So in order to advoid 0 point, I have to accept that. That happened in the last 30 seconds. I think that is their strategy, time pressure.",Medium difficulty,Very well,Well,Too much,To see if power (authority) makes one to be more arrogant?,,Disagree,Agree,Agree,Disagree,Agree,Agree,1,1,ykdzfw2h,,,,,0
33,8v2hfg8c,BLU_02,0,45,45,survey,Completion,2024-05-14 08:36:06.678625,1,,,267.0,33,,0.0,"I was A during the first rounds. I tried to get a bit more than the rest (because I supposedly got the best score), but then Bs wouldn't accept it and I finally succumbed to their proposal (34-33-33). I needed them to form a group, so they are equally important. when it was my turn to be a B, I better understood their position. At the end, I went for a win-win strategy. All my round ended up being 34-33-33.",Most of us agreed on the win-win scenario. There were some A's that tried to earn a bit more (just like me at the beginning) but then realized the fairest thing to do was the 34-33-33 setting proposed (because Bs were as important as them in terms of forming a group and earning points).,Easy,Very well,Very well,Just right,are people fair when being part of a group?,,Strongly Disagree,Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,1,1,ykdzfw2h,,,,,0
34,bv1rchfe,BLU_27,0,45,45,survey,Completion,2024-05-14 08:36:06.688075,1,,,307.0,34,,0.0,"34 33 33, everyone wins, no one is evil","sometimes, the players agreed with me. at other times, they were immensely greedy, one A asked for 40 once",Medium difficulty,Neutral,Very well,Just right,"how greedy people are, and some are very greedy",,No opinion,Agree,Agree,Agree,Agree,Agree,1,1,ykdzfw2h,,,,,0
35,5ubvbqrt,BLU_28,0,45,45,survey,Completion,2024-05-14 08:36:06.714192,1,,,261.0,35,,0.0,"be a bit of an asshole, because i think thats needed for negotiation, and put on some pressure  i saw this more as a game, so i was trying to do my best","i think they didnt really care about a few pennies, so they werent as determined, ",Difficult,Well,Well,Just right,how determined people negotiate based on gender...,it wasnt really clear how much 100 points in the game equate to in CHF,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,1,1,ykdzfw2h,,,,,0
36,iwrxhwk3,BLU_16,0,45,45,survey,Completion,2024-05-14 08:36:06.726130,1,,,259.0,36,,0.0,Pressing for 36 to 40 points as A and trying to get 33 as B. Since receiving 30 & 32 grants the same payoff of 8 points I felt it would be reasonable to try for 40 as an A. Not that it succeeded alas :(,"Similar to my own I feel, though many A players I encountered were excceedingly passive and simply accepted 34 33 33. I had expected As to press their advantage more, and perhaps they did in the first few rounds, but I guess things driffted more egalitarian towards the end. No one had a game where they failed to form a group to my knowledge which was slightly unexpected",Medium difficulty,Well,Well,Just right,Group collaboration strategies.,"Would be very interesting to see the same experimental set-up but with more people, 4 to 5 for instance. Also, maybe I missed this but there didn^t appear to be a keyboard preferrence selection during the signup for the experiment, and I was rather thrown off due to receiving a german keyboard instead of the US version I am accustomed to.",Disagree,Strongly Agree,Strongly Agree,Strongly Agree,No opinion,Strongly Agree,1,1,ykdzfw2h,,,,,0
1,d12v1y8v,,0,0,45,,,,0,,,0.0,1,,0.0,,,,,,,,,,,,,,,1,1,8s9n331q,,,,,1
2,3va4d2pw,,0,0,45,,,,0,,,0.0,2,,0.0,,,,,,,,,,,,,,,1,1,8s9n331q,,,,,1
3,p3nqjcl4,,0,0,45,,,,0,,,0.0,3,,0.0,,,,,,,,,,,,,,,1,1,8s9n331q,,,,,1
1,qo7o2u3r,,0,0,45,,,,0,,,0.0,1,,0.0,,,,,,,,,,,,,,,1,1,zlyapjtj,,,,,1
2,05njl3hl,,0,0,45,,,,0,,,0.0,2,,0.0,,,,,,,,,,,,,,,1,1,zlyapjtj,,,,,1
3,jr989sc8,,0,0,45,,,,0,,,0.0,3,,0.0,,,,,,,,,,,,,,,1,1,zlyapjtj,,,,,1
1,wtf9m9iv,BLU_13,0,45,45,survey,Completion,2024-05-14 11:37:24.500466,1,,,185.0,1,,0.0,Try to be neutral and dont say to much (only in the B case). And trying to be nice to the other 2 (because I could be B on the next round),The same as mine. But they tried to be more pleasing (on the B player case).,Easy,Very well,Very well,Just right,Could someone want more if they have some privilege/power compared to the others?,no,Disagree,Agree,Strongly Agree,Neutral,Disagree,Neutral,1,1,5r4374w0,,,,,0
2,bxtwzkk3,BLU_24,0,45,45,survey,Completion,2024-05-14 11:37:24.518595,1,,,180.0,2,,0.0,never had to bargain because as B they suggested equal split.,most of them were nice and suggested a equal 35-35-30 split. ,Easy,Well,Very well,Too much,How do people interact when having a chat option vs when they dont have that option,,No opinion,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,1,1,5r4374w0,,,,,0
3,c1re0k0c,BLU_10,0,45,45,survey,Completion,2024-05-14 11:37:24.524345,1,,,160.0,3,,0.0,Just do an even split to maximise eveyone's profit and spread some positivity. There was no reason for B to be excluded just because they were unlucky in the selection process.,"Everyone was nice, I was lucky to meet people who thought the same thing as I did and we always split evenly between the 3 of us.",Very easy,Very well,Very well,Too much,"How people view welfare and how they chose to split it when they are in control. Maybe, I don't actually know.",I have no idea why the points were divided by 4,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,1,1,5r4374w0,,,,,0
4,hmipyra9,BLU_30,0,45,45,survey,Completion,2024-05-14 11:37:24.529699,1,,,170.0,4,,0.0,"A1 and A2 get 35 points and B gets 30, therefore it is more or less equal, everyone is included and everyone gets out with a profit.","Their strategy was the same, no one wanted to leave with 0 points so everyone agreed on the equal split among all three players",Very easy,Very well,Very well,Too much,Bargaining skills (beim Handeln) - if people act selfishly or not,,Disagree,Agree,Agree,Agree,Agree,Neutral,1,1,5r4374w0,,,,,0
5,hljd8j8s,BLU_09,0,45,45,survey,Completion,2024-05-14 11:37:24.534611,1,,,165.0,5,,0.0,"split as equally as possible (i n terms of integer numbers, since 100 is not divisible by 3) the full budget","they were all really correct, i always got people with same strategy",Very easy,Very well,Very well,Way too much,-,,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,1,1,5r4374w0,,,,,0
6,1a434dy2,BLU_01,0,45,45,survey,Completion,2024-05-14 11:37:24.540313,1,,,140.0,6,,0.0,"propose a fair strategy at first, if everyone agree, its fine  if i was player b, i have to convince that every other player has the same chance to be player b in the next round and get in the sane situation.","only one player had a different strategy, agree the fair strategy at first and then propose a 5050 for p1 and p2 when the countdown began, so player 2 has to follow him/her and result a zero for B",Very easy,Well,Very well,Just right,social welfare,,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,1,1,5r4374w0,,,,,0
